session,skipped_node_1,skipped_node_2,skipped_node_3,skipped_node_4,skipped_node_5,skipped_node_6,nodes_skipped,Trainee launched node/1,Trainee attempted node/1,Trainee skipped node/1,Trainee passed node/1,Trainee launched node/2,Trainee attempted node/2,Trainee skipped node/2,Trainee passed node/2,Trainee launched node/3,Trainee attempted node/3,Trainee skipped node/3,Trainee passed node/3,Trainee launched node/4,Trainee attempted node/4,Trainee skipped node/4,Trainee passed node/4,Trainee launched node/5,Trainee attempted node/5,Trainee skipped node/5,Trainee passed node/5,Trainee launched node/6,Trainee attempted node/6,Trainee skipped node/6,Trainee passed node/6,time_for_node_1,time_for_node_2,time_for_node_3,time_for_node_4,time_for_node_5,time_for_node_6,sequence_completed,skipped_corner_1,skipped_corner_2,skipped_corner_3,skipped_corner_4,time_for_corner_1,time_for_corner_2,time_for_corner_3,time_for_corner_4,score_corner_1,score_corner_2,score_corner_3,score_corner_4,overall_score,score_activity_01,score_activity_02,score_activity_03,score_activity_04,score_activity_05,score_activity_06,score_activity_07,score_activity_08,score_activity_09,score_activity_10,score_activity_11,score_activity_12,score_activity_13,score_activity_14,score_competence_10_02,score_competence_10_03,score_competence_10_04,score_competence_10_05,score_competence_10_08,score_competence_10_10
QLENT,0,0,0,0,0,0,0,2019-04-04T10:00:29Z,2019-04-04T10:00:55Z,NA,2019-04-04T10:01:08Z,2019-04-04T10:01:08Z,2019-04-04T10:01:58Z,NA,2019-04-04T10:02:20Z,2019-04-04T10:02:21Z,2019-04-04T10:02:41Z,NA,2019-04-04T10:02:46Z,2019-04-04T10:02:46Z,2019-04-04T10:03:20Z,NA,2019-04-04T10:03:56Z,2019-04-04T10:03:57Z,2019-04-04T10:04:16Z,NA,2019-04-04T10:04:17Z,2019-04-04T10:04:17Z,2019-04-04T10:04:21Z,NA,2019-04-04T10:04:28Z,39.6849999427795,72.1289999485016,25.518000125885,70.4119999408722,20.7309999465942,10.4700000286102,TRUE,0,0,0,0,137.332000017166,70.4119999408722,20.7309999465942,10.47000002861023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
QXIHV,0,0,0,0,0,1,1,2019-04-04T09:46:13Z,2019-04-04T09:46:51Z,NA,2019-04-04T09:47:05Z,2019-04-04T09:47:05Z,2019-04-04T09:47:27Z,NA,2019-04-04T09:47:32Z,2019-04-04T09:47:33Z,2019-04-04T09:48:20Z,NA,2019-04-04T09:48:35Z,2019-04-04T09:48:35Z,2019-04-04T09:48:59Z,NA,2019-04-04T09:49:45Z,2019-04-04T09:49:45Z,2019-04-04T09:50:55Z,NA,2019-04-04T09:50:57Z,2019-04-04T09:50:58Z,2019-04-04T09:51:08Z,2019-04-04T09:51:09Z,NA,52.3389999866486,27.7919998168945,62.3070001602173,70.4749999046326,72.2030000686646,-Inf,FALSE,0,0,0,1,142.43799996376,70.4749999046326,72.2030000686646,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAOAL,0,0,0,0,0,0,0,2019-04-03T12:05:01Z,2019-04-03T12:05:26Z,NA,2019-04-03T12:05:39Z,2019-04-03T12:05:39Z,2019-04-03T12:05:51Z,NA,2019-04-03T12:06:07Z,2019-04-03T12:06:07Z,2019-04-03T12:06:13Z,NA,2019-04-03T12:06:24Z,2019-04-03T12:06:25Z,2019-04-03T12:06:40Z,NA,2019-04-03T12:06:54Z,2019-04-03T12:06:54Z,2019-04-03T12:07:00Z,NA,2019-04-03T12:07:10Z,2019-04-03T12:07:10Z,2019-04-03T12:07:12Z,NA,2019-04-03T12:07:27Z,37.7890000343323,28.0409998893738,17.6970000267029,29.7400000095367,15.664999961853,16.5840001106262,TRUE,0,0,0,0,83.5269999504089,29.7400000095367,15.664999961853,16.58400011062622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SJAVE,0,0,0,1,1,1,3,2019-04-02T13:39:39Z,2019-04-02T13:40:40Z,NA,2019-04-02T13:40:46Z,2019-04-02T13:40:46Z,2019-04-02T13:41:08Z,NA,2019-04-02T13:41:10Z,2019-04-02T13:41:10Z,2019-04-02T13:41:22Z,NA,2019-04-02T13:41:24Z,2019-04-02T13:41:25Z,2019-04-02T13:42:33Z,2019-04-02T13:42:34Z,NA,2019-04-02T13:42:34Z,2019-04-02T13:42:38Z,2019-04-02T13:42:44Z,NA,2019-04-02T13:42:44Z,2019-04-02T13:43:07Z,2019-04-02T13:43:10Z,NA,66.9270000457764,24.0060000419617,14.4670000076294,69.7890000343323,10.0199999809265,-Inf,FALSE,0,1,1,1,105.400000095367,69.7890000343323,10.0199999809265,NA,1,0.88,0.88,0.88,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.8,0.75,1,1,0,1
SWAAT,0,0,0,0,0,0,0,2019-04-04T12:35:32Z,2019-04-04T12:36:00Z,NA,2019-04-04T12:36:15Z,2019-04-04T12:36:15Z,2019-04-04T12:36:59Z,NA,2019-04-04T12:37:03Z,2019-04-04T12:37:04Z,2019-04-04T12:37:11Z,NA,2019-04-04T12:37:16Z,2019-04-04T12:37:16Z,2019-04-04T12:37:34Z,NA,2019-04-04T12:37:46Z,2019-04-04T12:37:46Z,2019-04-04T12:38:06Z,NA,2019-04-04T12:38:23Z,2019-04-04T12:38:23Z,2019-04-04T12:38:26Z,NA,2019-04-04T12:38:37Z,43.6490001678467,48.3429999351501,12.0179998874664,30.2840001583099,37.0859999656677,13.7549998760223,TRUE,0,0,0,0,104.009999990463,30.2840001583099,37.0859999656677,13.754999876022339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SXYHE,0,1,0,1,1,1,4,2019-04-03T09:13:27Z,2019-04-03T09:14:08Z,NA,2019-04-03T09:15:28Z,2019-04-03T09:15:28Z,2019-04-03T09:16:11Z,2019-04-03T09:16:40Z,NA,2019-04-03T09:16:40Z,2019-04-03T09:17:02Z,NA,2019-04-03T09:17:07Z,2019-04-03T09:17:07Z,2019-04-03T09:17:39Z,2019-04-03T09:18:19Z,NA,2019-04-03T09:18:19Z,2019-04-03T09:18:49Z,2019-04-03T09:19:20Z,NA,2019-04-03T09:19:20Z,2019-04-03T09:19:26Z,2019-04-03T09:19:38Z,NA,120.516999959946,72.5320000648499,26.9219999313354,71.5769999027252,61.625,-Inf,FALSE,1,1,1,1,219.970999956131,71.5769999027252,61.625,NA,1,0.96,0.96,0.96,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
TECAQ,0,0,0,0,0,0,0,2019-04-02T10:09:27Z,2019-04-02T10:09:58Z,NA,2019-04-02T10:10:04Z,2019-04-02T10:10:04Z,2019-04-02T10:10:10Z,NA,2019-04-02T10:10:13Z,2019-04-02T10:10:14Z,2019-04-02T10:10:16Z,NA,2019-04-02T10:10:19Z,2019-04-02T10:10:20Z,2019-04-02T10:10:39Z,NA,2019-04-02T10:10:44Z,2019-04-02T10:10:44Z,2019-04-02T10:10:46Z,NA,2019-04-02T10:10:56Z,2019-04-02T10:10:57Z,2019-04-02T10:11:02Z,NA,2019-04-02T10:11:09Z,37.2360000610352,9.47399997711182,5.95599985122681,24.8310000896454,12.1819999217987,12.5260000228882,TRUE,0,0,0,0,52.6659998893738,24.8310000896454,12.1819999217987,12.526000022888184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TYMWP,0,0,0,0,0,1,1,2019-04-03T11:10:15Z,2019-04-03T11:10:55Z,NA,2019-04-03T11:11:12Z,2019-04-03T11:11:12Z,2019-04-03T11:11:21Z,NA,2019-04-03T11:11:37Z,2019-04-03T11:11:38Z,2019-04-03T11:11:58Z,NA,2019-04-03T11:12:09Z,2019-04-03T11:12:09Z,2019-04-03T11:12:51Z,NA,2019-04-03T11:13:23Z,2019-04-03T11:13:23Z,2019-04-03T11:13:28Z,NA,2019-04-03T11:13:50Z,2019-04-03T11:13:51Z,2019-04-03T11:14:05Z,2019-04-03T11:14:07Z,NA,57.1240000724792,25.8599998950958,31.414999961853,73.625,27.8589999675751,-Inf,FALSE,0,0,0,1,114.398999929428,73.625,27.8589999675751,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UIBYC,0,0,0,0,0,0,0,2019-04-04T14:48:42Z,2019-04-04T14:49:11Z,NA,2019-04-04T14:49:29Z,2019-04-04T14:49:29Z,2019-04-04T14:49:43Z,NA,2019-04-04T14:49:58Z,2019-04-04T14:49:58Z,2019-04-04T14:50:11Z,NA,2019-04-04T14:50:14Z,2019-04-04T14:50:14Z,2019-04-04T14:50:47Z,NA,2019-04-04T14:51:00Z,2019-04-04T14:51:00Z,2019-04-04T14:51:33Z,NA,2019-04-04T14:51:38Z,2019-04-04T14:51:38Z,2019-04-04T14:52:33Z,NA,2019-04-04T14:52:39Z,47.4230000972748,28.7550001144409,16.5249998569489,45.5650000572205,38.4400000572205,60.1569998264313,TRUE,0,0,0,0,92.7030000686646,45.5650000572205,38.4400000572205,60.156999826431274,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VAUCW,0,0,0,0,0,0,0,2019-04-03T13:21:07Z,2019-04-03T13:21:29Z,NA,2019-04-03T13:21:46Z,2019-04-03T13:21:46Z,2019-04-03T13:21:55Z,NA,2019-04-03T13:21:58Z,2019-04-03T13:21:59Z,2019-04-03T13:22:25Z,NA,2019-04-03T13:22:27Z,2019-04-03T13:22:28Z,2019-04-03T13:22:43Z,NA,2019-04-03T13:23:03Z,2019-04-03T13:23:03Z,2019-04-03T13:23:45Z,NA,2019-04-03T13:23:59Z,2019-04-03T13:24:00Z,2019-04-03T13:24:03Z,NA,2019-04-03T13:24:11Z,39.353000164032,12.6659998893738,29.2249999046326,34.9990000724792,56.805999994278,11.1400001049042,TRUE,0,0,0,0,81.2439999580383,34.9990000724792,56.805999994278,11.140000104904175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VBASS,0,0,0,0,0,0,0,2019-04-04T10:17:10Z,2019-04-04T10:17:44Z,NA,2019-04-04T10:18:12Z,2019-04-04T10:18:12Z,2019-04-04T10:18:40Z,NA,2019-04-04T10:18:58Z,2019-04-04T10:18:59Z,2019-04-04T10:19:11Z,NA,2019-04-04T10:19:16Z,2019-04-04T10:19:16Z,2019-04-04T10:19:41Z,NA,2019-04-04T10:19:54Z,2019-04-04T10:19:54Z,2019-04-04T10:19:56Z,NA,2019-04-04T10:20:10Z,2019-04-04T10:20:10Z,2019-04-04T10:20:12Z,NA,2019-04-04T10:20:32Z,62.2999999523163,46.1389999389648,17.25,37.970999956131,16.2740001678467,21.8079998493195,TRUE,0,0,0,0,125.688999891281,37.970999956131,16.2740001678467,21.807999849319458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VJCBY,0,0,0,0,0,1,1,2019-04-04T08:05:58Z,2019-04-04T08:06:36Z,NA,2019-04-04T08:07:18Z,2019-04-04T08:07:18Z,2019-04-04T08:07:24Z,NA,2019-04-04T08:07:51Z,2019-04-04T08:07:52Z,2019-04-04T08:08:14Z,NA,2019-04-04T08:08:16Z,2019-04-04T08:08:16Z,2019-04-04T08:08:44Z,NA,2019-04-04T08:09:15Z,2019-04-04T08:09:15Z,2019-04-04T08:09:33Z,NA,2019-04-04T08:09:35Z,2019-04-04T08:09:36Z,2019-04-04T08:09:40Z,2019-04-04T08:10:12Z,NA,80.0039999485016,33.1780002117157,24.8149998188019,58.9900000095367,20.2760000228882,-Inf,FALSE,0,0,0,1,137.996999979019,58.9900000095367,20.2760000228882,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VQGEY,0,1,0,1,1,1,4,2019-04-03T09:26:31Z,2019-04-03T09:27:38Z,NA,2019-04-03T09:28:26Z,2019-04-03T09:28:26Z,2019-04-03T09:28:35Z,2019-04-03T09:28:52Z,NA,2019-04-03T09:28:52Z,2019-04-03T09:29:05Z,NA,2019-04-03T09:29:15Z,2019-04-03T09:29:15Z,2019-04-03T09:29:29Z,2019-04-03T09:30:03Z,NA,2019-04-03T09:30:03Z,2019-04-03T09:30:12Z,2019-04-03T09:30:25Z,NA,2019-04-03T09:30:25Z,2019-04-03T09:30:32Z,2019-04-03T09:30:44Z,NA,114.969000101089,26.1700000762939,23.0309998989105,48.2360000610352,21.9559998512268,-Inf,FALSE,1,1,1,1,164.170000076294,48.2360000610352,21.9559998512268,NA,1,0.97,0.96,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VWMFN,0,0,0,1,1,1,3,2019-04-03T08:11:05Z,2019-04-03T08:12:07Z,NA,2019-04-03T08:12:14Z,2019-04-03T08:12:14Z,2019-04-03T08:12:45Z,NA,2019-04-03T08:13:00Z,2019-04-03T08:13:00Z,2019-04-03T08:13:11Z,NA,2019-04-03T08:13:15Z,2019-04-03T08:13:16Z,2019-04-03T08:13:43Z,2019-04-03T08:13:46Z,NA,2019-04-03T08:13:46Z,2019-04-03T08:14:13Z,2019-04-03T08:14:15Z,NA,2019-04-03T08:14:15Z,2019-04-03T08:14:32Z,2019-04-03T08:14:34Z,NA,68.9279999732971,45.8029999732971,15.688000202179,30.6699998378754,28.8359999656677,-Inf,FALSE,0,1,1,1,130.419000148773,30.6699998378754,28.8359999656677,NA,1,0.92,0.88,0.88,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,1,1,0,1
WFGXD,0,0,0,0,0,0,0,2019-04-04T10:07:44Z,2019-04-04T10:08:42Z,NA,2019-04-04T10:09:24Z,2019-04-04T10:09:24Z,2019-04-04T10:09:43Z,NA,2019-04-04T10:10:03Z,2019-04-04T10:10:03Z,2019-04-04T10:10:54Z,NA,2019-04-04T10:11:00Z,2019-04-04T10:11:00Z,2019-04-04T10:11:17Z,NA,2019-04-04T10:11:32Z,2019-04-04T10:11:32Z,2019-04-04T10:11:36Z,NA,2019-04-04T10:11:58Z,2019-04-04T10:11:58Z,2019-04-04T10:12:24Z,NA,2019-04-04T10:12:50Z,100.476000070572,38.6389999389648,57.4020001888275,32.0130000114441,25.5499999523163,52.1459999084473,TRUE,0,0,0,0,196.517000198364,32.0130000114441,25.5499999523163,52.145999908447266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WHGRC,0,0,0,1,1,0,2,2019-04-02T14:03:13Z,2019-04-02T14:04:51Z,NA,2019-04-02T14:04:53Z,2019-04-02T14:04:53Z,2019-04-02T14:06:43Z,NA,2019-04-02T14:06:47Z,2019-04-02T14:06:47Z,2019-04-02T14:07:07Z,NA,2019-04-02T14:07:13Z,2019-04-02T14:07:14Z,2019-04-02T14:07:45Z,2019-04-02T14:08:18Z,NA,2019-04-02T14:08:18Z,2019-04-02T14:08:21Z,2019-04-02T14:08:52Z,NA,2019-04-02T14:08:52Z,2019-04-02T14:09:54Z,NA,2019-04-02T14:09:57Z,100.012000083923,114.009000062943,26.1619999408722,64.1480000019073,34.2720000743866,65.1299998760223,TRUE,0,1,1,0,240.183000087738,64.1480000019073,34.2720000743866,65.12999987602234,1,0.88,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.8,0.75,1,1,0,1
WKQWU,0,0,0,0,0,0,0,2019-04-03T15:39:21Z,2019-04-03T15:39:40Z,NA,2019-04-03T15:39:56Z,2019-04-03T15:39:56Z,2019-04-03T15:40:10Z,NA,2019-04-03T15:40:30Z,2019-04-03T15:40:30Z,2019-04-03T15:40:42Z,NA,2019-04-03T15:40:48Z,2019-04-03T15:40:48Z,2019-04-03T15:41:21Z,NA,2019-04-03T15:41:37Z,2019-04-03T15:41:38Z,2019-04-03T15:41:42Z,NA,2019-04-03T15:42:03Z,2019-04-03T15:42:03Z,2019-04-03T15:42:07Z,NA,2019-04-03T15:42:15Z,34.585000038147,34.0880000591278,18.2279999256134,49.4620001316071,25.6169998645782,12.0499999523163,TRUE,0,0,0,0,86.9010000228882,49.4620001316071,25.6169998645782,12.049999952316284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WKQXQ,0,1,0,1,1,1,4,2019-04-03T08:27:12Z,2019-04-03T08:28:22Z,NA,2019-04-03T08:29:10Z,2019-04-03T08:29:11Z,2019-04-03T08:29:46Z,2019-04-03T08:30:18Z,NA,2019-04-03T08:30:18Z,2019-04-03T08:30:36Z,NA,2019-04-03T08:31:11Z,2019-04-03T08:31:11Z,2019-04-03T08:31:40Z,2019-04-03T08:32:47Z,NA,2019-04-03T08:32:48Z,2019-04-03T08:33:10Z,2019-04-03T08:33:52Z,NA,2019-04-03T08:33:52Z,2019-04-03T08:34:01Z,2019-04-03T08:34:46Z,NA,118.955999851227,67.1019999980927,53.6160001754761,96.2539999485016,64.3919999599457,-Inf,FALSE,1,1,1,1,239.674000024796,96.2539999485016,64.3919999599457,NA,1,0.96,0.96,0.96,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
WLNSX,0,0,0,0,0,1,1,2019-04-03T12:31:57Z,2019-04-03T12:32:28Z,NA,2019-04-03T12:32:54Z,2019-04-03T12:32:54Z,2019-04-03T12:33:04Z,NA,2019-04-03T12:33:18Z,2019-04-03T12:33:18Z,2019-04-03T12:33:27Z,NA,2019-04-03T12:33:35Z,2019-04-03T12:33:35Z,2019-04-03T12:33:45Z,NA,2019-04-03T12:34:11Z,2019-04-03T12:34:12Z,2019-04-03T12:34:17Z,NA,2019-04-03T12:34:33Z,2019-04-03T12:34:33Z,2019-04-03T12:34:45Z,2019-04-03T12:34:46Z,NA,57.9029998779297,23.7860000133514,16.5930001735687,36.8519999980927,21.1849999427795,-Inf,FALSE,0,0,0,1,98.2820000648499,36.8519999980927,21.1849999427795,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WSDOE,0,0,0,0,0,1,1,2019-04-04T08:55:48Z,2019-04-04T08:56:16Z,NA,2019-04-04T08:56:43Z,2019-04-04T08:56:44Z,2019-04-04T08:56:53Z,NA,2019-04-04T08:57:07Z,2019-04-04T08:57:07Z,2019-04-04T08:57:36Z,NA,2019-04-04T08:57:53Z,2019-04-04T08:57:53Z,2019-04-04T08:58:14Z,NA,2019-04-04T08:59:12Z,2019-04-04T08:59:12Z,2019-04-04T08:59:18Z,NA,2019-04-04T08:59:45Z,2019-04-04T08:59:45Z,2019-04-04T08:59:49Z,2019-04-04T09:00:13Z,NA,55.3949999809265,23.7309999465942,45.7240002155304,79.0709998607635,33.1730000972748,-Inf,FALSE,0,0,0,1,124.850000143051,79.0709998607635,33.1730000972748,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
XBWCM,0,0,0,0,0,0,0,2019-04-04T14:25:36Z,2019-04-04T14:26:24Z,NA,2019-04-04T14:26:47Z,2019-04-04T14:26:47Z,2019-04-04T14:27:10Z,NA,2019-04-04T14:27:16Z,2019-04-04T14:27:16Z,2019-04-04T14:27:46Z,NA,2019-04-04T14:27:50Z,2019-04-04T14:27:50Z,2019-04-04T14:28:22Z,NA,2019-04-04T14:28:37Z,2019-04-04T14:28:38Z,2019-04-04T14:29:55Z,NA,2019-04-04T14:30:01Z,2019-04-04T14:30:01Z,2019-04-04T14:30:09Z,NA,2019-04-04T14:30:20Z,71.356999874115,28.864000082016,33.9779999256134,47.7620000839233,83.4240000247955,18.9990000724792,TRUE,0,0,0,0,134.198999881744,47.7620000839233,83.4240000247955,18.999000072479248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
XEBBS,0,0,0,1,1,1,3,2019-04-03T08:44:34Z,2019-04-03T08:45:07Z,NA,2019-04-03T08:45:29Z,2019-04-03T08:45:29Z,2019-04-03T08:45:55Z,NA,2019-04-03T08:46:22Z,2019-04-03T08:46:22Z,2019-04-03T08:46:42Z,NA,2019-04-03T08:46:46Z,2019-04-03T08:46:46Z,2019-04-03T08:47:15Z,2019-04-03T08:47:26Z,NA,2019-04-03T08:47:26Z,2019-04-03T08:48:33Z,2019-04-03T08:48:42Z,NA,2019-04-03T08:48:43Z,2019-04-03T08:49:58Z,2019-04-03T08:50:04Z,NA,54.7290000915527,53.1059999465942,23.7829999923706,40.4249999523163,76.664999961853,-Inf,FALSE,0,1,1,1,131.618000030518,40.4249999523163,76.664999961853,NA,1,0.96,0.88,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1
YHXWR,0,0,0,0,0,0,0,2019-04-03T12:51:55Z,2019-04-03T12:52:28Z,NA,2019-04-03T12:52:49Z,2019-04-03T12:52:49Z,2019-04-03T12:53:00Z,NA,2019-04-03T12:53:12Z,2019-04-03T12:53:12Z,2019-04-03T12:53:27Z,NA,2019-04-03T12:53:32Z,2019-04-03T12:53:32Z,2019-04-03T12:53:53Z,NA,2019-04-03T12:54:10Z,2019-04-03T12:54:10Z,2019-04-03T12:54:26Z,NA,2019-04-03T12:54:42Z,2019-04-03T12:54:42Z,2019-04-03T12:55:09Z,NA,2019-04-03T12:55:19Z,53.8549997806549,22.6460001468658,20.4019999504089,37.7130000591278,32.1900000572205,36.9869999885559,TRUE,0,0,0,0,96.9029998779297,37.7130000591278,32.1900000572205,36.98699998855591,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YQNOD,0,0,0,0,1,0,1,2019-04-04T11:38:11Z,2019-04-04T11:38:33Z,NA,2019-04-04T11:38:46Z,2019-04-04T11:38:46Z,2019-04-04T11:39:13Z,NA,2019-04-04T11:39:33Z,2019-04-04T11:39:33Z,2019-04-04T11:39:43Z,NA,2019-04-04T11:39:51Z,2019-04-04T11:39:51Z,2019-04-04T11:40:24Z,NA,2019-04-04T11:40:42Z,2019-04-04T11:40:42Z,2019-04-04T11:41:33Z,2019-04-04T11:41:34Z,NA,2019-04-04T11:41:35Z,2019-04-04T11:41:45Z,NA,2019-04-04T11:41:46Z,35.8159999847412,46.489000082016,17.7710001468658,51.6969997882843,52.2090001106262,11.808000087738,TRUE,0,0,1,0,100.076000213623,51.6969997882843,52.2090001106262,11.808000087738037,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
